"NEXUS","Customer Flying History","09/07/2018",
"     ","",
"Customer Name","Route","Departure","Departure","A/C","Rotation",
"","","Date","Time","","",
 
"NEXUS FLIGHT OPERATIONS SERVICES","4648","20/06/2017","20:05","ADH","JED-DXB",
"NEXUS FLIGHT OPERATIONS SERVICES","4650","03/07/2017","20:15","ADH","JED-HYD",
"NEXUS FLIGHT OPERATIONS SERVICES","4680","28/06/2017","09:00","ADH","JED-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4713","05/07/2017","06:00","ADH","RUH-JED-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","4718","06/07/2017","01:55","ADH","IAH-IST-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4721","13/07/2017","13:50","ADH","DMM-AUH-AMS-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4734","11/07/2017","00:40","ADH","DMM-CMB",
"NEXUS FLIGHT OPERATIONS SERVICES","4745","17/08/2017","20:15","ADH","JED-HYD",
"NEXUS FLIGHT OPERATIONS SERVICES","4746","12/07/2017","08:30","ADH","LHR-FRA-DMM-FRA-LHR",
"NEXUS FLIGHT OPERATIONS SERVICES","4752","12/07/2017","13:15","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4754","13/07/2017","13:00","ADH","DXB-MAA-DPS",
"NEXUS FLIGHT OPERATIONS SERVICES","4766","20/07/2017","21:40","ADH","DMM-FRA-IAD",
"NEXUS FLIGHT OPERATIONS SERVICES","4771","18/07/2017","07:00","ADH","SHA-CTU",
"NEXUS FLIGHT OPERATIONS SERVICES","4772","16/09/2017","16:20","ADH","DMM-MNL-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4775","01/11/2017","07:50","ADH","JED-LHE",
"NEXUS FLIGHT OPERATIONS SERVICES","4776","19/07/2017","06:00","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4783","30/08/2017","23:45","ADH","JED-MUX",
"NEXUS FLIGHT OPERATIONS SERVICES","4791","22/07/2017","12:40","ADH","JED-DXB-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4793","25/07/2017","03:40","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4796","04/09/2017","22:00","ADH","JED-HYD",
"NEXUS FLIGHT OPERATIONS SERVICES","4798","05/08/2017","23:55","ADH","DMM-COK",
"NEXUS FLIGHT OPERATIONS SERVICES","4811","02/08/2017","04:00","ADH","JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4815","27/08/2017","14:00","ADH","JED-BOM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4829","02/08/2017","08:00","ADH","RUH-JED-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","4832","05/08/2017","00:40","ADH","RUH-LAX-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","4836","05/08/2017","15:55","ADH","MNL-DXB-JED-DXB-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","4837","03/08/2017","05:00","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4839","01/08/2017","13:20","ADH","JED-RUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4843","03/08/2017","23:20","ADH","DXB-ISB-DXB",
"NEXUS FLIGHT OPERATIONS SERVICES","4847","07/08/2017","08:30","ADH","LHR-FRA-DMM-FRA-LHR",
"NEXUS FLIGHT OPERATIONS SERVICES","4852","09/08/2017","00:30","ADH","RUH-ATH-TLS",
"NEXUS FLIGHT OPERATIONS SERVICES","4863","31/08/2017","01:25","ADH","IXU-BOM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4867","10/08/2017","05:35","ADH","JED-KRT-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4874","31/08/2017","03:45","ADH","DMM-MNL-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4876","10/08/2017","06:00","ADH","RUH-JED-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","4880","13/12/2017","16:20","ADH","DMM-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","4881","20/08/2017","01:40","ADH","JED-ADD-ABV-ADD-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4885","10/08/2017","22:00","ADH","JED-BCN-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4903","14/08/2017","18:00","ADH","JED-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","4917","16/08/2017","12:00","ADH","PMF-CMN-ATH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4918","17/08/2017","04:00","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4927","04/09/2017","19:00","ADH","STN-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4933","03/09/2017","11:40","ADH","RUH-STN",
"NEXUS FLIGHT OPERATIONS SERVICES","4960","27/08/2017","01:15","ADH","DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4964","26/08/2017","13:00","ADH","CTU-AUH-DMM-AUH-CTU",
"NEXUS FLIGHT OPERATIONS SERVICES","4966","01/09/2017","13:05","ADH","OTP-STN",
"NEXUS FLIGHT OPERATIONS SERVICES","4967","26/08/2017","05:00","ADH","JED-JED-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4972","28/08/2017","17:50","ADH","JED-AUH-CDG-AUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4979","26/08/2017","15:35","ADH","JED-JED-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4992","02/09/2017","22:20","ADH","RUH-IST-OTP",
"NEXUS FLIGHT OPERATIONS SERVICES","5011","02/09/2017","04:50","ADH","VIE-LHR-VIE",
"NEXUS FLIGHT OPERATIONS SERVICES","5014","01/09/2017","21:20","ADH","JED-MNL-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","5016","02/09/2017","10:00","ADH","NCE-NCE-NCE",
"NEXUS FLIGHT OPERATIONS SERVICES","5031","05/09/2017","19:25","ADH","HAS-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","5035","13/09/2017","09:05","ADH","JED-BOM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","5039","09/09/2017","18:50","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","5041","08/09/2017","12:00","CR2","OBF-FAB-ATH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","5044","09/09/2017","12:00","CR2","JED-CAI-BAH",
"NEXUS FLIGHT OPERATIONS SERVICES","5053","09/09/2017","09:00","ADH","LCA-LCA-LCA",
"NEXUS FLIGHT OPERATIONS SERVICES","5074","17/09/2017","14:35","ADH","JED-DXB-KGL-DXB-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","5082","14/09/2017","04:40","ADH","CTU-SHA",
"NEXUS FLIGHT OPERATIONS SERVICES","5083","30/10/2017","16:25","ADH","DMM-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","5096","15/09/2017","04:45","ADH","SCQ-MAD-JED-FRA-SCQ",
"NEXUS FLIGHT OPERATIONS SERVICES","5108","27/09/2017","06:25","ADH","DMM-DXB-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","5121","08/11/2017","19:25","ADH","DMM-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","5134","20/09/2017","16:00","ADH","JED-DME-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","5135","20/09/2017","16:00","ADH","JED-DME-CAI-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","5136","20/09/2017","12:50","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","5137","20/09/2017","12:55","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","5138","21/09/2017","05:00","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","5167","27/09/2017","06:00","ADH","RUH-JED-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","5189","30/09/2017","18:45","ADH","ALC-AMS-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","5194","30/09/2017","18:45","ADH","ALC-AMS-DMM",
